Sequence 1, Testcase 1
Sequence 4, Testcase 1
Sequence 7, Testcase 1
Sequence 10, Testcase 1
Sequence 13, Testcase 1
Sequence 15, Testcase 1
Sequence 9, Testcase 2
Sequence 11, Testcase 2
Sequence 12, Testcase 3
Sequence 16, Testcase 4
Sequence 2, Testcase 5
Sequence 3, Testcase 5
Sequence 6, Testcase 5
Sequence 14, Testcase 6
Sequence 17, Testcase 6
Sequence 19, Testcase 6
Sequence 21, Testcase 6
Sequence 20, Testcase 7
Sequence 23, Testcase 7
Sequence 24, Testcase 8
Sequence 5, Testcase 9
Sequence 8, Testcase 9
Sequence 25, Testcase 9
Sequence 28, Testcase 9
Sequence 29, Testcase 9
Sequence 34, Testcase 10
Sequence 37, Testcase 10
Sequence 26, Testcase 11
Sequence 27, Testcase 11
Sequence 46, Testcase 11
Sequence 48, Testcase 11
Sequence 49, Testcase 12
Sequence 50, Testcase 12
Sequence 35, Testcase 13
Sequence 38, Testcase 13
Sequence 41, Testcase 13
Sequence 45, Testcase 13
Sequence 18, Testcase 14
Sequence 51, Testcase 15
Sequence 52, Testcase 15
Sequence 55, Testcase 15
Sequence 53, Testcase 16
Sequence 56, Testcase 16
Sequence 59, Testcase 16
Sequence 47, Testcase 17
Sequence 93, Testcase 17
Sequence 95, Testcase 17
Sequence 57, Testcase 18
Sequence 61, Testcase 18
Sequence 74, Testcase 18
Sequence 73, Testcase 19
Sequence 75, Testcase 19
Sequence 77, Testcase 19
Sequence 84, Testcase 19
Sequence 86, Testcase 19
Sequence 60, Testcase 20
Sequence 62, Testcase 20
Sequence 70, Testcase 20
Sequence 30, Testcase 21
Sequence 39, Testcase 21
Sequence 96, Testcase 22
Sequence 97, Testcase 25
Sequence 105, Testcase 27
Sequence 106, Testcase 28
Sequence 127, Testcase 29
Sequence 36, Testcase 30
Sequence 54, Testcase 32
Sequence 40, Testcase 34
Sequence 42, Testcase 34
Sequence 94, Testcase 35
Sequence 44, Testcase 37
Sequence 58, Testcase 47
Sequence 31, Testcase 51
Sequence 32, Testcase 51
Sequence 98, Testcase 61
Sequence 104, Testcase 61
Sequence 68, Testcase 64
Sequence 99, Testcase 74
Sequence 100, Testcase 74
Sequence 107, Testcase 75
Sequence 111, Testcase 75
Sequence 112, Testcase 75
Sequence 63, Testcase 76
Sequence 69, Testcase 76
Sequence 71, Testcase 76
Sequence 102, Testcase 82
Sequence 76, Testcase 89
Sequence 79, Testcase 89
Sequence 81, Testcase 89
Sequence 85, Testcase 89
Sequence 87, Testcase 89
Sequence 89, Testcase 89
Sequence 91, Testcase 89
Sequence 128, Testcase 90
Sequence 130, Testcase 90
Sequence 132, Testcase 90
Sequence 134, Testcase 90
Sequence 136, Testcase 90
Sequence 64, Testcase 93
Sequence 66, Testcase 93
Sequence 67, Testcase 94
Sequence 108, Testcase 95
Sequence 113, Testcase 97
Sequence 116, Testcase 97
Sequence 82, Testcase 98
Sequence 122, Testcase 99
Sequence 131, Testcase 99
Sequence 115, Testcase 100
Sequence 121, Testcase 100
Sequence 125, Testcase 100
