Sequence 1, Testcase 1
Sequence 4, Testcase 1
Sequence 7, Testcase 1
Sequence 10, Testcase 1
Sequence 13, Testcase 1
Sequence 15, Testcase 1
Sequence 9, Testcase 2
Sequence 11, Testcase 2
Sequence 12, Testcase 3
Sequence 16, Testcase 4
Sequence 14, Testcase 5
Sequence 17, Testcase 5
Sequence 19, Testcase 5
Sequence 21, Testcase 5
Sequence 20, Testcase 6
Sequence 23, Testcase 6
Sequence 24, Testcase 7
Sequence 2, Testcase 8
Sequence 3, Testcase 8
Sequence 6, Testcase 8
Sequence 5, Testcase 9
Sequence 8, Testcase 9
Sequence 25, Testcase 9
Sequence 28, Testcase 9
Sequence 29, Testcase 9
Sequence 34, Testcase 10
Sequence 37, Testcase 10
Sequence 35, Testcase 11
Sequence 38, Testcase 11
Sequence 41, Testcase 11
Sequence 45, Testcase 11
Sequence 18, Testcase 12
Sequence 30, Testcase 14
Sequence 36, Testcase 15
Sequence 26, Testcase 16
Sequence 27, Testcase 16
Sequence 46, Testcase 16
Sequence 49, Testcase 16
Sequence 51, Testcase 16
Sequence 53, Testcase 16
Sequence 56, Testcase 16
Sequence 59, Testcase 16
Sequence 52, Testcase 17
Sequence 54, Testcase 17
Sequence 47, Testcase 18
Sequence 93, Testcase 18
Sequence 96, Testcase 18
Sequence 97, Testcase 18
Sequence 48, Testcase 20
Sequence 44, Testcase 21
Sequence 50, Testcase 22
Sequence 58, Testcase 23
Sequence 31, Testcase 25
Sequence 32, Testcase 25
Sequence 39, Testcase 25
Sequence 40, Testcase 27
Sequence 42, Testcase 27
Sequence 95, Testcase 32
Sequence 98, Testcase 34
Sequence 99, Testcase 34
Sequence 100, Testcase 34
Sequence 101, Testcase 34
Sequence 104, Testcase 34
Sequence 94, Testcase 37
Sequence 55, Testcase 39
Sequence 102, Testcase 47
Sequence 57, Testcase 49
Sequence 60, Testcase 49
Sequence 62, Testcase 49
Sequence 66, Testcase 49
Sequence 67, Testcase 49
Sequence 68, Testcase 49
Sequence 70, Testcase 49
Sequence 106, Testcase 50
Sequence 107, Testcase 50
Sequence 111, Testcase 50
Sequence 112, Testcase 50
Sequence 113, Testcase 50
Sequence 116, Testcase 50
Sequence 61, Testcase 54
Sequence 74, Testcase 54
Sequence 105, Testcase 55
Sequence 115, Testcase 57
Sequence 121, Testcase 57
Sequence 125, Testcase 57
Sequence 127, Testcase 57
Sequence 114, Testcase 58
Sequence 117, Testcase 58
Sequence 126, Testcase 58
Sequence 73, Testcase 59
Sequence 75, Testcase 59
Sequence 77, Testcase 59
Sequence 84, Testcase 59
Sequence 86, Testcase 59
Sequence 119, Testcase 64
Sequence 120, Testcase 64
Sequence 63, Testcase 65
Sequence 69, Testcase 65
Sequence 71, Testcase 65
Sequence 103, Testcase 71
Sequence 76, Testcase 77
Sequence 79, Testcase 77
Sequence 81, Testcase 77
Sequence 85, Testcase 77
Sequence 87, Testcase 77
Sequence 89, Testcase 77
Sequence 91, Testcase 77
Sequence 128, Testcase 86
Sequence 130, Testcase 86
Sequence 132, Testcase 86
Sequence 134, Testcase 86
Sequence 136, Testcase 86
Sequence 118, Testcase 92
Sequence 123, Testcase 92
Sequence 64, Testcase 102
Sequence 122, Testcase 106
Sequence 124, Testcase 106
Sequence 82, Testcase 109
Sequence 108, Testcase 110
Sequence 131, Testcase 111
