Sequence 1, Testcase 1
Sequence 2, Testcase 1
Sequence 3, Testcase 1
Sequence 6, Testcase 1
Sequence 5, Testcase 2
Sequence 4, Testcase 3
Sequence 7, Testcase 3
Sequence 9, Testcase 3
Sequence 11, Testcase 3
Sequence 12, Testcase 4
Sequence 10, Testcase 5
Sequence 13, Testcase 5
Sequence 15, Testcase 5
Sequence 16, Testcase 6
Sequence 14, Testcase 7
Sequence 18, Testcase 7
Sequence 17, Testcase 8
Sequence 20, Testcase 8
Sequence 23, Testcase 8
Sequence 8, Testcase 9
Sequence 26, Testcase 9
Sequence 46, Testcase 9
Sequence 48, Testcase 9
Sequence 24, Testcase 10
Sequence 19, Testcase 11
Sequence 21, Testcase 11
Sequence 25, Testcase 12
Sequence 27, Testcase 12
Sequence 47, Testcase 13
Sequence 94, Testcase 13
Sequence 49, Testcase 14
Sequence 50, Testcase 14
Sequence 28, Testcase 15
Sequence 30, Testcase 16
Sequence 29, Testcase 17
Sequence 34, Testcase 18
Sequence 36, Testcase 18
Sequence 93, Testcase 19
Sequence 95, Testcase 19
Sequence 37, Testcase 20
Sequence 51, Testcase 21
Sequence 52, Testcase 21
Sequence 54, Testcase 21
Sequence 35, Testcase 22
Sequence 39, Testcase 22
Sequence 38, Testcase 23
Sequence 40, Testcase 23
Sequence 42, Testcase 23
Sequence 41, Testcase 24
Sequence 44, Testcase 24
Sequence 45, Testcase 25
Sequence 55, Testcase 26
Sequence 53, Testcase 27
Sequence 56, Testcase 27
Sequence 58, Testcase 27
Sequence 59, Testcase 28
Sequence 96, Testcase 29
Sequence 97, Testcase 30
Sequence 57, Testcase 32
Sequence 61, Testcase 32
Sequence 74, Testcase 32
Sequence 60, Testcase 35
Sequence 63, Testcase 35
Sequence 69, Testcase 36
Sequence 71, Testcase 36
Sequence 105, Testcase 37
Sequence 73, Testcase 38
Sequence 75, Testcase 38
Sequence 77, Testcase 38
Sequence 84, Testcase 38
Sequence 86, Testcase 38
Sequence 62, Testcase 39
Sequence 70, Testcase 39
Sequence 76, Testcase 40
Sequence 79, Testcase 40
Sequence 82, Testcase 40
Sequence 81, Testcase 41
Sequence 85, Testcase 41
Sequence 87, Testcase 41
Sequence 89, Testcase 41
Sequence 91, Testcase 41
Sequence 131, Testcase 42
Sequence 106, Testcase 43
Sequence 107, Testcase 44
Sequence 108, Testcase 44
Sequence 127, Testcase 46
Sequence 128, Testcase 47
Sequence 130, Testcase 47
Sequence 132, Testcase 47
Sequence 134, Testcase 47
Sequence 136, Testcase 47
