Sequence 1, Testcase 1
Sequence 4, Testcase 1
Sequence 7, Testcase 1
Sequence 10, Testcase 1
Sequence 13, Testcase 1
Sequence 15, Testcase 1
Sequence 9, Testcase 2
Sequence 11, Testcase 2
Sequence 12, Testcase 3
Sequence 16, Testcase 4
Sequence 14, Testcase 5
Sequence 17, Testcase 5
Sequence 19, Testcase 5
Sequence 21, Testcase 5
Sequence 20, Testcase 6
Sequence 23, Testcase 6
Sequence 24, Testcase 7
Sequence 2, Testcase 8
Sequence 3, Testcase 8
Sequence 6, Testcase 8
Sequence 5, Testcase 9
Sequence 18, Testcase 12
Sequence 8, Testcase 14
Sequence 25, Testcase 14
Sequence 28, Testcase 14
Sequence 29, Testcase 14
Sequence 30, Testcase 15
Sequence 34, Testcase 16
Sequence 36, Testcase 16
Sequence 26, Testcase 17
Sequence 46, Testcase 17
Sequence 49, Testcase 17
Sequence 51, Testcase 17
Sequence 52, Testcase 17
Sequence 54, Testcase 17
Sequence 37, Testcase 19
Sequence 35, Testcase 21
Sequence 38, Testcase 21
Sequence 41, Testcase 21
Sequence 44, Testcase 21
Sequence 53, Testcase 23
Sequence 56, Testcase 23
Sequence 58, Testcase 23
Sequence 47, Testcase 25
Sequence 93, Testcase 25
Sequence 96, Testcase 25
Sequence 97, Testcase 25
Sequence 40, Testcase 27
Sequence 42, Testcase 27
Sequence 27, Testcase 28
Sequence 45, Testcase 29
Sequence 59, Testcase 30
Sequence 94, Testcase 36
Sequence 48, Testcase 40
Sequence 50, Testcase 43
Sequence 39, Testcase 47
Sequence 95, Testcase 52
Sequence 57, Testcase 65
Sequence 60, Testcase 65
Sequence 63, Testcase 65
Sequence 69, Testcase 65
Sequence 71, Testcase 65
Sequence 106, Testcase 71
Sequence 55, Testcase 73
Sequence 61, Testcase 76
Sequence 73, Testcase 76
Sequence 76, Testcase 76
Sequence 79, Testcase 76
Sequence 81, Testcase 76
Sequence 84, Testcase 76
Sequence 85, Testcase 76
Sequence 87, Testcase 76
Sequence 89, Testcase 76
Sequence 91, Testcase 76
Sequence 105, Testcase 88
Sequence 128, Testcase 88
Sequence 130, Testcase 88
Sequence 132, Testcase 88
Sequence 134, Testcase 88
Sequence 136, Testcase 88
Sequence 62, Testcase 104
Sequence 70, Testcase 104
Sequence 74, Testcase 105
Sequence 107, Testcase 108
Sequence 108, Testcase 108
Sequence 82, Testcase 109
Sequence 75, Testcase 110
Sequence 77, Testcase 110
Sequence 86, Testcase 110
Sequence 127, Testcase 111
Sequence 131, Testcase 112
